"Source","Target","Weight"
"Chief of Defence Staff Roles","Military Advisor","1"
"Boards & Ministries","National Board","1"
"Number System","Modular Arithmetic","8"
"Flag Code of India","Flag Ratio","1"
"International Date Line Effect","Anadyr","1"
"Popular Sovereignty","Consent of the Governed","1"
"Portuguese Introduced Crops","Pineapple","1"
"UNESCO World Heritage 2023","Hoysala Temples","1"
"Remote Sensing Applications","Vegetation","1"
"Bills Lapse on Dissolution","Joint Sitting","1"
"Greenhouse Effect & Atmospheric Heating","Terrestrial Radiation","1"
"Aerospace Technology","Electric Aircraft","1"
"MSP Procurement Policy","Procurement Limits","1"
"Social Media & Democracy","Platform Incentives","1"
"Permutation & Combination","Painted Cubes","2"
"Organic Farming Risks","Safe Practices","1"
"Permutation & Combination","Prime Numbers","1"
"Glaciers and Rivers","Siachen","1"
"Lakes in India","Kodaikanal","1"
"Groundwater Regulation in India","Central Ground Water Authority","1"
"Agricultural Households","Rural Livelihoods","5"
"Logical Reasoning","Evaluation","1"
"Ajanta Cave Paintings","Buddhist Art","1"
"Pulse Crops in India","Kharif/Rabi Pulses","1"
"Governor Discretion & Bills","Discretionary Powers","1"
"Percentage","Percent Increase","1"
"Value of Research","Utility of Findings","1"
"Fiscal Indicators","Fiscal Deficit","1"
"Legal Services Authorities Act","Eligibility Criteria","1"
"Number System","Alphabet","2"
"Nutrition Security & Food Systems","Food Policy","1"
"Sanskrit & Jain Literature","Devichandragupta","1"
"Household Financial Savings & Public Debt","Internal Debt","1"
"Ratio & Proportion","Counting","2"
"Greenhouse Effect & Atmospheric Heating","Greenhouse Gases","1"
"Sustainable Aviation Fuel","Corn","1"
"Permutation & Combination","Non-divisible","1"
"Wildlife Corridors & Conservation","Human-Wildlife Conflict","2"
"Portuguese Introduced Crops","Guava","1"
"Pollination Ecology","Insect Pollinators","1"
"Mughal Painting","Album Paintings","1"
"India?s Regional Trade","South Asia","1"
"Number System","Counting","3"
"Permutation & Combination","Cube Coloring","1"
"Constitution Day","26 November","1"
"Choice Overload","Behavioral Economics","1"
"Nocturnal Wildlife","Sambar","1"
"Unified Payments Interface","Digital Payments","1"
"Foreign Direct Investment","Non-debt Capital","1"
"Number System","Cyclic Scheduling","1"
"Child Labour","ILO Convention 182","1"
"Tropical Peatlands","Carbon Storage","1"
"Cultural Festivals & Communities","Chaliha Sahib Festival","1"
"Time & Work","Increased Workload","1"
"Number System","Symmetry","1"
"Rights and Duties","Constitutional Duties","1"
"Corporate Capitalism & Growth","Welfare Effects","1"
"Hundi","Indigenous Banking","1"
"Number System","Tele-density","1"
"Solar Water Pump Technology","Surface vs Submersible Pumps","1"
"Climate Change & Migration","Climate Refugees","1"
"Industrial Farming & Sustainability","Factory Farming","1"
"Inflation Measurement","CPI vs WPI","1"
"Deciduous Trees","Mahua","1"
"Lok Sabha Exclusive Powers","Money Bills","1"
"Rock Permeability","Chalk Porosity","1"
"Number System","HCF","1"
"Political Development & Group Identity","Social Cleavages","1"
"Cornwallis Revenue Settlements","Permanent Settlement","1"
"Polar Code","Safety of Ships","1"
"Global Oxygen Production","Rainforests","1"
"Right to Equality","Untouchability","1"
"MSP Procurement Policy","MSP","1"
"Quality Standards & Certification","BIS Standard Mark","1"
"System of Rice Intensification","Methane Reduction","1"
"Hydrofluorocarbons Applications","Fire Retardants","1"
"RTGS vs NEFT","Timings","1"
"Logical Reasoning","Family RelationsRelations","2"
"Organization of Turkic States","Azerbaijan","1"
"Number System","Skewness","1"
"Fifth Schedule Areas","Governance","1"
"Number System","Compounding","1"
"Parliamentary Procedures","Executive Accountability","1"
"Parliamentary Sessions & Summoning","President's Powers","1"
"Ratio & Proportion","Equivalent Weights","1"
"Economic Liberalization & Role of State","Employment","1"
"Non-Cooperation Movement","Swaraj Objective","1"
"International Agreements & Initiatives","Under2 Coalition","1"
"Wealth & Failure","Money Accumulation","1"
"Indian National Movement","Leaders","1"
"PET","Recycling","1"
"Open-source Digital Platforms","DIKSHA","1"
"Education Outcomes & Skills","Curriculum Alignment","1"
"Water Conservation in Agriculture","Rainwater Harvesting","1"
"Biochar in Agriculture","Nitrogen Fixing Microbes","1"
"Radiative Cooling & Clouds","Cloud Cover","1"
"Logical Reasoning","Constraint Satisfaction","1"
"Social Cost of Carbon","Climate Economics","1"
"Senkaku Islands Dispute","East China Sea","1"
"Number System","Unit Digit","1"
"Time & Work","Inverse Proportion","1"
"External Sector Resilience","Short-term Borrowings","1"
"Time, Speed & Distance","Relative Motion","1"
"Water Pollution Indicators","Biological Oxygen Demand","1"
"IRNSS/NavIC","Satellite Orbits","1"
"Percentage","Successive Percentage","1"
"Tea Board of India","Export Promotion","1"
"Ratio & Proportion","Volume Ratio","1"
"Indian Squirrels Behavior","Omnivory","1"
"Number System","Socioeconomic","2"
"Lead Bank Scheme","Service Area Approach","1"
"Commercialization of Agriculture","Export Crops","1"
"Wetland Ecosystem Services","Pollution Filtration","1"
"Pneumococcal Conjugate Vaccine","Antibiotic Resistance","1"
"Buddha Epithets","Shakyamuni","1"
"Number System","Basic Probability","1"
"Water Resource Management","Reservoirs","1"
"Agrobiodiversity Loss","Crop Diversity","1"
"Resource-Rich Countries","Chile Lithium","1"
"GPS Applications","Power Grids","1"
"Indian Ports","Kamarajar Port","1"
"Ashokan Administration","Rajuka","1"
"Value of Research","Knowledge Value","1"
"Planning in India","Industrial Policy","1"
"Permutation & Combination","Arrangements with Constraints","1"
"Acid Rain Causes","Nitrogen Oxides","1"
"Constitutional Bodies","Zonal Councils","1"
"Faxian in India","Chandragupta II","1"
"Constitutional Bodies","Inter-State Council","1"
"Logical Reasoning","Ordering","2"
"Ratio & Proportion","Adult-Child Equivalence","1"
"Number System","Ratios","3"
"India?s Regional Trade","India-Sri Lanka Trade","1"
"Education for Citizenship","Social Issues","1"
"Number System","Sum of 4-digit numbers","1"
"COVID-19 Vaccines","Covaxin","1"
"Logical Reasoning","Logical Sequence","1"
"Gandharva Mahavidyalaya","Vishnu Digambar Paluskar","1"
"Deforestation & Desertification","Water Scarcity","1"
"Logical Reasoning","Statement Evaluation","2"
"High-Energy Explosives","HMX","1"
"Nutrition Security & Food Systems","Non-Communicable Diseases","1"
"Cobalt ?????????????????????","EV Batteries","1"
"Number System","Missing Digit","1"
"Equator & Water Bodies","Patos Lagoon","1"
"Human Capital Formation","Skills","1"
"Poverty Measurement","Poverty Line","1"
"Plastic in Chewing Gum","Microplastics","1"
"Corporate Social Responsibility Rules","CSR Eligibility","1"
"Ageing Population Countries","Japan","1"
"Rivers & Cities","Indian Rivers","1"
"Averages","Sports Statistics","1"
"Arctic Geopolitics & Resources","Polar Governance","1"
"Capital Budget","Loans & Advances","1"
"Time, Speed & Distance","Speed","1"
"Dyarchy in India","Provincial Subjects","1"
"GDPR","Privacy","1"
"Time, Speed & Distance","Train/Tram Length","1"
"Gandhi Peace Prize Jury","PM","1"
"Capital-Output Ratio","Investment Efficiency","1"
"Number System","Sequence","6"
"Keystone Species & Seed Dispersal","Frugivores","1"
"Science & Social Responsibility","Ethics of Science","1"
"SO2 Emissions Source","Fossil Fuel Power Plants","1"
"Volcanic Eruption Products","Pyroclastics","1"
"President's Rule","State Governance","1"
"Elephants as Keystone Species","Ecosystem Services","1"
"Stellar Evolution","Nuclear Reaction Rates","1"
"Marsupials & Biogeography","Habitat Constraints","1"
"PET","Fibre Blends","1"
"Lokpal Provisions","Jurisdiction","1"
"Tropical Peatlands","Congo Basin","1"
"Cotton Cultivation Requirements","Climatic Requirements","1"
"Ancient Irrigation Devices","Araghatta","1"
"Paleoclimate Change","Mass Extinction","1"
"Remote Sensing Applications","LST","1"
"PET","Polyethylene Terephthalate","1"
"Non-Financial Debt","Consumer Credit","1"
"Gandhi-Irwin Pact","Round Table Conference","1"
"Swadeshi Literature","Desher Katha","1"
"Nocturnal Wildlife","Malabar Civet","1"
"Carbon Capture & Sequestration","Mineralization","1"
"Number System","Arithmetic Progression","2"
"Indian Fauna Distribution","Ladakh Camel","1"
"Number System","Effective Rate","1"
"Scheduled Areas Administration","Reports","1"
"Time, Speed & Distance","Time","1"
"Number System","Unit Cost","1"
"Freedom Fighters","Nationalist Leaders","1"
"Ratio & Proportion","Fractions","1"
"Number System","Dates","1"
"Biotechnology Regulation & GM Crops","Socio-economic Impacts","1"
"Ancient Indian Literature","Shunga Dynasty","1"
"Green Technology Transition","Transition Costs","1"
"Ratio & Proportion","Concentration","1"
"Wildlife Corridors","Western & Eastern Ghats","1"
"National Career Service","Skill Development","1"
"Urban Planning & Inclusion","Urban Poor","1"
"Antarctic Climate Change","Glacier Melt","1"
"Logical Reasoning","Relation Symbols","1"
"Global Governance Indices","World Bank","1"
"Sustainable Development & Energy Transition","Clean Energy","1"
"Value of Research","Research Outcomes","1"
"Number System","Divisors","1"
"National Career Service","Employment Services","1"
"E-Waste Rules","Extended Producer Responsibility","1"
"Coal Pollution & Ash","High Ash Coal","1"
"Number System","Telecom Infrastructure","1"
"Accelerometer Applications","Free-fall Detection","1"
"Truthfulness & Morality","Ethics","1"
"Logical Reasoning","Blood Relations","2"
"UNOPS S3i Investments","Affordable Housing","1"
"Unnat Bharat Abhiyan","Higher Education Outreach","1"
"Earth Rotation Shift","Polar Ice Melt","1"
"Mercury Pollution","Health Risk","1"
"Circular Economy & Battery Recycling","Circular Use","1"
"Constitutional Philosophy","Preamble","1"
"Food Safety & Globalization","Foodborne Illness","1"
"Money Market Instruments","Certificate of Deposit","1"
"Inclusive Innovation & Inequality","Income Inequality","1"
"Vijayanagara Irrigation Works","Tungabhadra Dam","1"
"Intangible Assets","Brand Recognition","1"
"Profit & Loss","Reverse Transactions","1"
"Number System","Code Patterns","2"
"Historical Lessons for Leadership","Military History","1"
"Logical Reasoning","Deductive Logic","9"
"Environmental Institutions","Central Pollution Control Board","3"
"Consumer Product Safety","Brominated Vegetable Oils","1"
"Agro-biodiversity & Food Security","Green Revolution","1"
"Indian Flying Fox","Frugivory","1"
"Speaker of Legislative Assembly","Speaker Tenure","1"
"Scheduled Areas Administration","Governor","1"
"Government of India Act 1935","Federal Subjects","1"
"Number System","Multiples","1"
"Quality Standards & Certification","AGMARK","1"
"Ecosystem Conservation vs Livelihoods","Ecosystem Degradation","1"
"Indian Military Aircraft Types","IL-76","1"
"Hepatitis Viruses","Hepatitis B","1"
"Number System","Cycles","1"
"Military Coups in Africa","Chad","1"
"Water Ecosystems & Policy","Ecosystem-based Water Management","1"
"Archaeological Sites","Chandraketugarh","1"
"Inland Water Bodies","Lake Baikal","1"
"Kho Kho World Cup 2025","Scores","1"
"Money Bill","Article 110","1"
"Qubit","Superposition","1"
"Artificial Rainmaking","Cloud Seeding","1"
"Harijan Upliftment","Poona Pact","1"
"Climate Adaptation & Food Security","Integrated Pest Management","1"
"Logical Reasoning","Natural Numbers","1"
"Ancient Land Measurement","Agrarian Terminology","1"
"Leader of Opposition","Parliamentary Opposition","5"
"Adolescent Psychology & Parenting","Adolescence","1"
"Number System","Products","1"
"Social Media & Democracy","Digital Inclusion","1"
"Ocean Mean Temperature","Monsoon Forecasting","1"
"Number System","Even/Odd","1"
"Coastal Geomorphology","Rann of Kutch","1"
"Bengal Exports","Silk","1"
"Ratio & Proportion","Surface Area","1"
"Climate-Smart Agriculture","Climate Summit","1"
"Time, Speed & Distance","Sum of Distances","1"
"Speaker Removal Procedure","Presiding","1"
"Number System","Distinct Factors","1"
"Buddhist Sects","Sarvastivadin","1"
"Education System & Learning Outcomes","Skill Development","1"
"Permutation & Combination","Number Formation","1"
"Circular Economy Benefits","Emissions Reduction","1"
"Fig-fig Wasp Mutualism","Pollination","1"
"Venezuela Economy & Oil","Economic Recovery","1"
"Adolescent Psychology & Parenting","Autonomy","1"
"Indian Dynasties & Kings","Paramara","1"
"Logical Reasoning","Remainder","1"
"Probiotics","Lactose Digestion","1"
"Payment Data Localization","RBI Directives","1"
"Barren Island Volcano","Great Nicobar","1"
"Privacy Rights & State Responsibility","State Regulation","1"
"Permutation & Combination","Geometry","2"
"Indirect Transfers","Indirect Transfer Rules","1"
"Logical Reasoning","Fractions","1"
"Indirect Transfers","Taxation","1"
"Dancing Girl","Bronze SculptureMohenjo-daro","1"
"Number System","Primes","2"
"Net-Zero Transition","Incentives","1"
"Industrial Relations Legislation","Strikes","1"
"Number System","Units","1"
"Equity Options Market","Derivatives Market","1"
"Sterilization Operations","Open Market Operations","1"
"Federalism","Governor","1"
"Environmental Management","Pollution Control","3"
"Genomic Breeding","Disease Resistance","1"
"Time, Speed & Distance","Arrangements","1"
"Number System","Sector Angle","1"
"Wearable Technology","Sensors","1"
"Time, Speed & Distance","Geometry","1"
"Carbon Markets","Climate Policy","1"
"Number System","Algebraic Comparison","1"
"Indian Lakes & River Systems","Wular Lake","1"
"Percentage","Marks","1"
"Office of Profit","Disqualification","1"
"Overwork & Self-Improvement","Overstrain","1"
"Number System","Parity","3"
"President's Rule","Article 356","2"
"Champaran Satyagraha","National Movement","1"
"Economic Liberalization","FDI Inflows","1"
"Parasitoid Species","Wasps","1"
"Indian Forest Act","Rights","1"
"Barasingha Conservation","Swamp Deer","1"
"National Pension System","Pension Policy","1"
"Number System","Calendar Arithmetic","1"
"Logical Reasoning","Digit Constraints","1"
"Profit & Loss","Allegation","1"
"Logical Reasoning","Circular Arrangement","1"
"Wood's Dispatch","Grants-in-Aid","1"
"Number System","Weekday Counting","2"
"Cyber Insurance","Cyber Extortion","1"
"Green Hydrogen Applications","Fuel Cells","1"
"Capabilities Approach to Poverty","Human Development","1"
"Tea-Producing States","Assam","1"
"Indian History","Ancient/Medieval/Modern History","1"
"Number System","Divisibility","10"
"Green Technology Transition","Path Dependence","1"
"Number System","Odd Numbers","1"
"Logical Reasoning","Sum and Product","1"
"Public Health & Productivity","Nutrition","1"
"Number System","Demography","1"
"AR & VR Technologies","Virtual Reality","1"
"Industrial Relations Legislation","Trade Disputes Act 1929","1"
"Vijayanagara Temple Architecture","Kalyana Mandapa","1"
"Indian History","Historical Comparisons","1"
"Import Cover","Technology Applications","1"
"Monoclonal Antibodies","Therapeutics","1"
"Time, Speed & Distance","Race","1"
"Logical Reasoning","Allocation","1"
"Cloud Radiative Effects","High vs Low Clouds","1"
"Number System","Mean-Median-Mode","1"
"Logical Reasoning","Logical Deductions","3"
"Constitution Amendment","Variation","1"
"Devolution & Decentralization","Political Legitimacy","1"
"Cybersecurity Reporting","IT Act","1"
"India-EU Trade Agreement","Trade Negotiations","1"
"State Formation & Features","Arunachal","1"
"Astrophysics & Cosmology","Event Horizon","1"
"Astronomy Objects","Nebulae","1"
"Wildlife Protection Act","Schedules","1"
"Profit & Loss","Effective Discount","1"
"Number System","Litres","1"
"Monazite & Rare Earths","Thorium","1"
"Aerospace Technology","NASA Technology","1"
"Refugee Settlements in Kenya","Dadaab","1"
"Carbon Sequestration Technology","Mineral Carbonation","1"
"Ease of Doing Business Index","World Bank","1"
"Prison Administration","Prisons Act 1894","1"
"E-commerce FDI Rules","Marketplace Model","1"
"Food Prices & Demand","Fuel Prices","1"
"Freedom Fighters","Biographies","1"
"Native Trees","Cashew","1"
"Agricultural Heritage Systems","GIAHS","1"
"Vijayanagara Irrigation Works","Devaraya I","1"
"Organic Farming Risks","Farmer Guidance","1"
"Permutation & Combination","Grid","2"
"Nuclear Security Governance","Fissile Material Monitoring","1"
"Number System","Letter Pattern","1"
"Agricultural Heritage Systems","Traditional Farming Systems","1"
"Regional Connectivity Projects","Trilateral Highway","1"
"Number System","Coins","1"
"BRICS 16th Summit","Kazan","1"
"Percentage","Distance","1"
"COP28 Climate & Health Declaration","Health Sector Decarbonization","1"
"Climate Policy & Uncertainty","Technological Uncertainty","1"
"Slavery in Arthashastra","Legal Status","1"
"Political Development & Group Identity","Traditional vs Modern Identities","1"
"Global Governance Indices","Ease of Doing Business Index","1"
"Percentage","Vote Share","1"
"Logical Reasoning","Word Coding","1"
"Number System","Transitivity","1"
"Number System","XYZXYZ","1"
"Number System","Arithmetic Logic","1"
"Niger Seed Cultivation","MSP","1"
"Organization of Turkic States","Uzbekistan","1"
"Percentage","Profit","1"
"Credit Rating Agencies","Regulation","1"
"Permutation & Combination","Constraints","9"
"Urban Development Cooperation","APMCHUD","1"
"India Exports & PLI Scheme","Production-linked Incentive","1"
"Rule of Law","Civil Rights","1"
"Cobalt ?????????????????????","DRC Production","1"
"IAEA Additional Protocol","Nuclear Safeguards","1"
"Number System","Divisor Function","1"
"Number System","Carry","1"
"Number System","Run Rate","1"
"Parliamentary Oversight of Regulators","Regulatory Review","1"
"Coal Gasification Products","Nitroglycerine","1"
"Number System","Egyptian Fraction","1"
"Ratio & Proportion","Capacity","1"
"General Relativity","Gravity","1"
"Peacock Tarantula","Arboreal Species","1"
"UN Convention against Corruption","UN Treaty","1"
"Solar Power Projects in India","Solar Parks","1"
"Directive Principles of State Policy","DPSP","1"
"Extremophiles","Thermophiles","1"
"Number System","Broken Tree","1"
"Invasive Species","Biodiversity Loss","1"
"Indian Ocean Dipole","Monsoon","1"
"GM Food Import Rules","Trade Policy","1"
"Digital Rupee","Convertibility","1"
"Emerging Technologies","Belle II","1"
"Native Trees","Papaya","1"
"COVID-19 Vaccines","Covishield","1"
"Number System","Schedule vs Actual","1"
"Sustainable Development & Energy Transition","Clean Energy Access","1"
"Activated Carbon Adsorption","Heavy Metals","1"
"Drone Applications","Wildlife Sampling","1"
"Time, Speed & Distance","Number Formation","2"
"Time, Speed & Distance","Relative Speed","6"
"Household Air Pollution","Clean Cooking Fuels","1"
"Logical Reasoning","Set Constraints","1"
"Number System","Reverse","1"
"Number System","Statements","1"
"Syndicated Lending","Loan Structure","1"
"Logical Reasoning","Logical Conclusions","1"
"Kisan Credit Card","Consumption Needs","1"
"Social Contract & General Will","Rousseau","1"
"Plant vs Animal Cells","Vacuoles","1"
"Multilateral Financing Institutions","Public-Private Partnerships","1"
"Number System","Upstream/Downstream","1"
"Ratio & Proportion","Ranking","1"
"Environmental Toxicology","Stem Cell Assays","1"
"Air Pollution & AQI","Health Impacts of Air Pollution","1"
"Ecosystem Conservation vs Livelihoods","Commercial Exploitation","1"
"Higher Education Pedagogy","Teaching Reform","1"
"Ratio & Proportion","Ratio","4"
"Number System","Counting Divisors","1"
"Plant Defense & Pest Control","Plant-Insect Interaction","1"
"Permutation & Combination","Factors","1"
"Antibiotic Resistance & Livestock","Growth Promoters","1"
"Nutrition Security & Crop Diversity","Food Policy","1"
"Botanical Pesticides & Sustainable Agriculture","Ecological Balance","1"
"GM Technology & IPR","Crop Resilience","2"
"Air Pollution & AQI","Air Quality Index","1"
"Lokpal Provisions","Eligibility","1"
"Number System","Number Patterns","3"
"Ethnic Conflicts","Innovation Programs","1"
"Nuclear Fuel & Power Generation","Uranium Enrichment","1"
"Vidyanjali Scheme","Public-Private Participation in Education","1"
"Number System","Custom Operation","2"
"Minor Minerals Regulation","State vs Central Powers","1"
"Wildlife Protection Act Schedule VI","Protected Plants","1"
"Constitution Amendment","Addition","1"
"Number System","Total Sales","1"
"Modern Indian Timeline","Arya Samaj","1"
"Number System","Right Triangle","1"
"India?s Regional Trade","India-Bangladesh Trade","1"
"Governor's Immunities","Governor Emoluments","1"
"71st Amendment Languages","Nepali","1"
"Greenfield Airports","Donyi Polo","1"
"Number System","Diagonal","1"
"Number System","Fuel Price","1"
"Permutation & Combination","Combinatorics","10"
"Battery Cathode Materials","Nickel","1"
"Number System","Bar Graph","1"
"British Colonial Rule","Mahatma Gandhi","1"
"Ecosystem Resilience & Climate Change","Small Mammals","1"
"Number System","Leap Year","3"
"IAEA Additional Protocol","Civilian Nuclear Program","1"
"Employment & Structural Transformation","Services","1"
"Total Fertility Rate","Demographic Indicators","1"
"Capital Adequacy Ratio","Basel Norms","2"
"Number System","Alternating Constraints","1"
"Cement Industry Emissions","Clinker Production","1"
"Permutation & Combination","Color Arrangements","1"
